연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2018_종로구,3690.000000 ,6.000000 ,3.000000 ,236.000000 ,1483.000000 ,1962.000000 ,163026.000000 ,23.910000 ,1.380176 ,33.000000 ,1.000000 ,2.000000 ,23.000000 ,0.000000 ,1.000000 ,6.000000 ,893656953000.000000 ,5481683.614884 ,6817.000000 ,13012.000000 ,0.079815 ,95.600000 ,26572.000000 ,0.162992 ,4.230000 ,4450.000000 ,0.027296 ,1322.000000 ,55.290673 
2018_중구,4030.000000 ,2.000000 ,11.000000 ,207.000000 ,1855.000000 ,1955.000000 ,135633.000000 ,9.960000 ,2.710843 ,27.000000 ,0.000000 ,2.000000 ,18.000000 ,1.000000 ,1.000000 ,5.000000 ,1411350828000.000000 ,10405659.596116 ,13618.000000 ,13141.000000 ,0.096886 ,97.100000 ,21750.000000 ,0.160359 ,5.670000 ,4266.000000 ,0.031453 ,1174.000000 ,117.871486 
2018_용산구,3411.000000 ,1.000000 ,3.000000 ,331.000000 ,1096.000000 ,1980.000000 ,245090.000000 ,21.870000 ,0.868770 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,692735897000.000000 ,2826455.167489 ,11209.000000 ,20841.000000 ,0.085034 ,93.500000 ,37212.000000 ,0.151830 ,5.640000 ,6515.000000 ,0.026582 ,1888.000000 ,86.328304 
2018_성동구,2457.000000 ,2.000000 ,5.000000 ,126.000000 ,999.000000 ,1325.000000 ,316463.000000 ,16.860000 ,1.245552 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,516779535000.000000 ,1632985.641291 ,18771.000000 ,13555.000000 ,0.042833 ,96.500000 ,42629.000000 ,0.134705 ,5.010000 ,7839.000000 ,0.024771 ,2390.000000 ,141.755635 
2018_광진구,3915.000000 ,7.000000 ,2.000000 ,229.000000 ,1769.000000 ,1908.000000 ,371063.000000 ,17.060000 ,0.996483 ,17.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,3.000000 ,409392219000.000000 ,1103295.717978 ,21746.000000 ,22554.000000 ,0.060782 ,94.500000 ,45432.000000 ,0.122437 ,5.880000 ,8720.000000 ,0.023500 ,1586.000000 ,92.966002 
2018_동대문구,3680.000000 ,2.000000 ,5.000000 ,145.000000 ,1447.000000 ,2081.000000 ,364338.000000 ,14.220000 ,1.898734 ,27.000000 ,0.000000 ,1.000000 ,20.000000 ,0.000000 ,1.000000 ,5.000000 ,386297987000.000000 ,1060273.666211 ,25630.000000 ,22318.000000 ,0.061256 ,99.500000 ,56991.000000 ,0.156423 ,4.660000 ,12453.000000 ,0.034180 ,1775.000000 ,124.824191 
2018_중랑구,4288.000000 ,4.000000 ,3.000000 ,174.000000 ,1526.000000 ,2581.000000 ,408147.000000 ,18.500000 ,1.243243 ,23.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,4.000000 ,257920510000.000000 ,631930.431928 ,22067.000000 ,9132.000000 ,0.022374 ,98.800000 ,61748.000000 ,0.151289 ,5.700000 ,17070.000000 ,0.041823 ,1203.000000 ,65.027027 
2018_성북구,3042.000000 ,7.000000 ,1.000000 ,183.000000 ,1164.000000 ,1687.000000 ,447687.000000 ,24.570000 ,1.261701 ,31.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,4.000000 ,397313736000.000000 ,887481.066013 ,18218.000000 ,16773.000000 ,0.037466 ,94.600000 ,67646.000000 ,0.151101 ,4.980000 ,12909.000000 ,0.028835 ,2542.000000 ,103.459503 
2018_강북구,3437.000000 ,8.000000 ,7.000000 ,188.000000 ,1112.000000 ,2122.000000 ,322915.000000 ,23.600000 ,0.847458 ,20.000000 ,0.000000 ,1.000000 ,14.000000 ,0.000000 ,1.000000 ,4.000000 ,185375542000.000000 ,574069.157518 ,13683.000000 ,7015.000000 ,0.021724 ,95.700000 ,58103.000000 ,0.179933 ,5.660000 ,16175.000000 ,0.050091 ,1159.000000 ,49.110169 
2018_도봉구,2249.000000 ,1.000000 ,5.000000 ,113.000000 ,781.000000 ,1349.000000 ,341649.000000 ,20.670000 ,0.725689 ,15.000000 ,0.000000 ,1.000000 ,9.000000 ,0.000000 ,1.000000 ,4.000000 ,190484637000.000000 ,557544.839880 ,16531.000000 ,4560.000000 ,0.013347 ,95.900000 ,55926.000000 ,0.163694 ,5.420000 ,11470.000000 ,0.033572 ,679.000000 ,32.849540 
